指标,值,备注
renounced_mint,True,安全权限
renounced_freeze_account,True,安全权限
buy_tax,0,交易税
sell_tax,0,交易税
burn_status,burn,LP燃烧
top_10_holder_rate,17.640%,筹码集中度
fresh_wallet_rate,9.510%,新钱包比例
top_bundler_trader_percentage,47.340%,bundler交易占比
top_rat_trader_percentage,0.010%,rat交易占比
top_entrapment_trader_percentage,12.090%,entrapment占比
bot_degen_rate,38.210%,bot比例
smart_wallets,45,GMGN标签
renowned_wallets,8,KOL
sniper_wallets,54,狙击
bundler_wallets,1000,bundler
fresh_wallets,425,fresh
rat_trader_wallets,3,rat
1h_open,0.00063264,kline
1h_close,0.0004769,kline
1h_change_pct,-24.62%,kline
1h_high,0.00067278,kline
1h_low,0.00022899,kline
1h_volume_usd,850668.89,kline
